Date,Day_Name,Day_of_Year,End_Hour,Month_Name,Season,Source,Start_Hour,Production
10/13/2022,Thursday,286,16,October,Fall,Wind,15,5371
7/14/2022,Thursday,195,8,July,Summer,Wind,7,1556
10/22/2020,Thursday,296,21,October,Fall,Wind,20,3317
5/9/2020,Saturday,130,9,May,Spring,Wind,8,2089
8/24/2021,Tuesday,236,7,August,Summer,Wind,6,4866
10/10/2020,Saturday,284,23,October,Fall,Wind,22,4377
5/26/2021,Wednesday,146,10,May,Spring,Wind,9,8983
12/5/2022,Monday,339,1,December,Winter,Wind,0,651
3/9/2021,Tuesday,68,2,March,Spring,Wind,1,1962
8/2/2022,Tuesday,214,8,August,Summer,Wind,7,1344
12/18/2021,Saturday,352,14,December,Winter,Wind,13,6722
9/13/2022,Tuesday,256,4,September,Fall,Wind,3,2417
8/26/2021,Thursday,238,18,August,Summer,Wind,17,7818
4/10/2020,Friday,101,22,April,Spring,Wind,21,3301
5/7/2021,Friday,127,15,May,Spring,Solar,14,5597
11/16/2021,Tuesday,320,11,November,Fall,Solar,10,1777
10/26/2022,Wednesday,299,4,October,Fall,Wind,3,6939
11/23/2022,Wednesday,327,23,November,Fall,Wind,22,12516
9/14/2020,Monday,258,2,September,Fall,Wind,1,2911
7/4/2020,Saturday,186,1,July,Summer,Wind,0,2880
10/9/2022,Sunday,282,19,October,Fall,Wind,18,2019
11/8/2020,Sunday,313,0,November,Fall,Wind,23,3117
3/20/2021,Saturday,79,21,March,Spring,Wind,20,4836
8/5/2022,Friday,217,8,August,Summer,Wind,7,2721
11/25/2022,Friday,329,22,November,Fall,Wind,21,3781
7/3/2022,Sunday,184,18,July,Summer,Solar,17,5809
4/4/2022,Monday,94,3,April,Spring,Wind,2,1851
2/7/2022,Monday,38,14,February,Winter,Solar,13,6261
9/30/2020,Wednesday,274,13,September,Fall,Solar,12,5354
10/28/2022,Friday,301,21,October,Fall,Wind,20,2613
4/4/2020,Saturday,95,21,April,Spring,Wind,20,3458
6/12/2020,Friday,164,20,June,Summer,Wind,19,4192
5/4/2022,Wednesday,124,2,May,Spring,Wind,1,2927
10/31/2021,Sunday,304,4,October,Fall,Wind,3,5501
5/3/2022,Tuesday,123,1,May,Spring,Wind,0,5334
2/18/2020,Tuesday,49,22,February,Winter,Wind,21,10809
12/14/2020,Monday,349,23,December,Winter,Wind,22,6487
10/28/2021,Thursday,301,5,October,Fall,Wind,4,5506
3/25/2021,Thursday,84,11,March,Spring,Solar,10,3848
1/27/2022,Thursday,27,17,January,Winter,Wind,16,5435
7/9/2021,Friday,190,16,July,Summer,Solar,15,4899
10/28/2021,Thursday,301,3,October,Fall,Wind,2,4894
7/21/2022,Thursday,202,1,July,Summer,Wind,0,1855
1/8/2021,Friday,8,5,January,Winter,Wind,4,1168
11/22/2022,Tuesday,326,15,November,Fall,Wind,14,14594
3/28/2021,Sunday,87,0,March,Spring,Wind,23,4004
6/12/2021,Saturday,163,7,June,Summer,Wind,6,1630
5/19/2020,Tuesday,140,16,May,Spring,Solar,15,5922
7/7/2022,Thursday,188,6,July,Summer,Wind,5,3016
9/23/2021,Thursday,266,12,September,Fall,Solar,11,4987
2/13/2021,Saturday,44,11,February,Winter,Wind,10,9684
10/21/2021,Thursday,294,5,October,Fall,Wind,4,11332
2/9/2022,Wednesday,40,5,February,Winter,Wind,4,3142
8/19/2021,Thursday,231,18,August,Summer,Solar,17,3806
9/1/2020,Tuesday,245,11,September,Fall,Solar,10,3015
3/24/2022,Thursday,83,2,March,Spring,Wind,1,2524
8/31/2021,Tuesday,243,2,August,Summer,Wind,1,4199
5/21/2021,Friday,141,18,May,Spring,Wind,17,13861
9/10/2021,Friday,253,6,September,Fall,Wind,5,1723
7/7/2022,Thursday,188,15,July,Summer,Wind,14,10903
11/15/2020,Sunday,320,14,November,Fall,Wind,13,14307
10/31/2021,Sunday,304,13,October,Fall,Wind,12,14933
7/9/2020,Thursday,191,8,July,Summer,Wind,7,1479
2/27/2020,Thursday,58,6,February,Winter,Wind,5,7764
11/10/2022,Thursday,314,12,November,Fall,Solar,11,5573
11/21/2020,Saturday,326,23,November,Fall,Wind,22,2418
12/31/2021,Friday,365,18,December,Winter,Wind,17,3466
11/18/2021,Thursday,322,14,November,Fall,Solar,13,3746
10/19/2022,Wednesday,292,6,October,Fall,Wind,5,5438
2/20/2020,Thursday,51,23,February,Winter,Wind,22,8229
3/19/2021,Friday,78,6,March,Spring,Wind,5,5515
11/14/2022,Monday,318,13,November,Fall,Wind,12,4986
12/2/2021,Thursday,336,23,December,Winter,Wind,22,3496
10/9/2020,Friday,283,7,October,Fall,Wind,6,2199
11/26/2021,Friday,330,8,November,Fall,Wind,7,3443
10/2/2020,Friday,276,8,October,Fall,Wind,7,10066
8/26/2020,Wednesday,239,4,August,Summer,Wind,3,9695
1/13/2022,Thursday,13,8,January,Winter,Wind,7,2614
10/22/2020,Thursday,296,13,October,Fall,Wind,12,5144
7/9/2022,Saturday,190,20,July,Summer,Wind,19,7134
6/27/2020,Saturday,179,15,June,Summer,Wind,14,11830
9/15/2021,Wednesday,258,10,September,Fall,Wind,9,2675
10/9/2022,Sunday,282,3,October,Fall,Wind,2,4673
11/9/2021,Tuesday,313,9,November,Fall,Wind,8,2292
11/11/2020,Wednesday,316,13,November,Fall,Solar,12,4276
10/14/2020,Wednesday,288,8,October,Fall,Wind,7,2812
5/2/2020,Saturday,123,21,May,Spring,Wind,20,2311
4/14/2022,Thursday,104,16,April,Spring,Solar,15,5744
3/18/2020,Wednesday,78,17,March,Spring,Solar,16,2387
8/31/2022,Wednesday,243,17,August,Summer,Solar,16,6108
7/10/2020,Friday,192,15,July,Summer,Wind,14,6004
2/8/2022,Tuesday,39,12,February,Winter,Solar,11,7015
1/25/2020,Saturday,25,19,January,Winter,Wind,18,1541
9/19/2021,Sunday,262,19,September,Fall,Wind,18,3328
10/9/2021,Saturday,282,4,October,Fall,Wind,3,3546
5/14/2022,Saturday,134,11,May,Spring,Solar,10,5016
5/6/2020,Wednesday,127,17,May,Spring,Solar,16,4649
12/26/2020,Saturday,361,0,December,Winter,Wind,23,12204
12/5/2020,Saturday,340,12,December,Winter,Wind,11,6599
6/29/2022,Wednesday,180,7,June,Summer,Wind,6,846
11/27/2021,Saturday,331,9,November,Fall,Wind,8,8176
3/1/2021,Monday,60,13,March,Spring,Solar,12,5823
5/24/2022,Tuesday,144,0,May,Spring,Wind,23,1737
8/8/2021,Sunday,220,20,August,Summer,Wind,19,5220
9/29/2020,Tuesday,273,14,September,Fall,Solar,13,3865
4/4/2021,Sunday,94,9,April,Spring,Wind,8,4128
7/1/2022,Friday,182,20,July,Summer,Solar,19,2740
3/30/2021,Tuesday,89,19,March,Spring,Solar,18,2212
4/3/2022,Sunday,93,12,April,Spring,Solar,11,7880
10/5/2022,Wednesday,278,13,October,Fall,Wind,12,14483
4/3/2022,Sunday,93,20,April,Spring,Wind,19,2512
2/19/2020,Wednesday,50,8,February,Winter,Wind,7,7659
4/3/2022,Sunday,93,6,April,Spring,Wind,5,4612
12/29/2020,Tuesday,364,8,December,Winter,Wind,7,4603
12/7/2021,Tuesday,341,11,December,Winter,Wind,10,7360
1/19/2022,Wednesday,19,9,January,Winter,Wind,8,2429
6/12/2021,Saturday,163,3,June,Summer,Wind,2,1985
11/10/2022,Thursday,314,10,November,Fall,Wind,9,4728
6/17/2021,Thursday,168,17,June,Summer,Wind,16,3765
7/31/2021,Saturday,212,23,July,Summer,Wind,22,2465
8/13/2021,Friday,225,7,August,Summer,Wind,6,1321
9/27/2021,Monday,270,2,September,Fall,Wind,1,3486
5/27/2021,Thursday,147,2,May,Spring,Wind,1,1901
9/20/2021,Monday,263,3,September,Fall,Wind,2,1783
10/30/2021,Saturday,303,1,October,Fall,Wind,0,5898
6/1/2022,Wednesday,152,5,June,Summer,Wind,4,1442
11/7/2022,Monday,311,8,November,Fall,Wind,7,11247
10/19/2021,Tuesday,292,16,October,Fall,Wind,15,8951
2/15/2021,Monday,46,8,February,Winter,Wind,7,10374
9/24/2020,Thursday,268,4,September,Fall,Wind,3,6870
2/13/2020,Thursday,44,20,February,Winter,Wind,19,13445
3/29/2020,Sunday,89,19,March,Spring,Wind,18,13447
4/2/2021,Friday,92,7,April,Spring,Wind,6,6489
5/12/2021,Wednesday,132,17,May,Spring,Wind,16,4817
8/21/2021,Saturday,233,18,August,Summer,Wind,17,5204
5/18/2020,Monday,139,23,May,Spring,Wind,22,3869
2/16/2021,Tuesday,47,7,February,Winter,Wind,6,9833
9/29/2020,Tuesday,273,10,September,Fall,Wind,9,2020
3/23/2022,Wednesday,82,14,March,Spring,Solar,13,8197
10/28/2022,Friday,301,12,October,Fall,Wind,11,8363
2/4/2020,Tuesday,35,12,February,Winter,Wind,11,13302
5/5/2020,Tuesday,126,12,May,Spring,Wind,11,7737
9/2/2021,Thursday,245,22,September,Fall,Wind,21,5182
9/27/2020,Sunday,271,14,September,Fall,Wind,13,13444
2/17/2020,Monday,48,2,February,Winter,Wind,1,8444
10/4/2022,Tuesday,277,13,October,Fall,Solar,12,5982
10/20/2022,Thursday,293,22,October,Fall,Wind,21,7286
7/11/2020,Saturday,193,21,July,Summer,Wind,20,3401
3/28/2021,Sunday,87,10,March,Spring,Wind,9,5097
2/18/2020,Tuesday,49,11,February,Winter,Wind,10,8878
9/3/2020,Thursday,247,3,September,Fall,Wind,2,978
10/1/2021,Friday,274,12,October,Fall,Wind,11,8978
5/22/2021,Saturday,142,9,May,Spring,Wind,8,11778
5/18/2022,Wednesday,138,12,May,Spring,Solar,11,5814
11/26/2021,Friday,330,1,November,Fall,Wind,0,2751
2/24/2020,Monday,55,23,February,Winter,Wind,22,10680
10/31/2022,Monday,304,19,October,Fall,Wind,18,11533
12/24/2021,Friday,358,13,December,Winter,Wind,12,3894
1/1/2022,Saturday,1,9,January,Winter,Wind,8,4970
9/18/2021,Saturday,261,6,September,Fall,Wind,5,1559
4/24/2021,Saturday,114,23,April,Spring,Wind,22,8201
12/11/2021,Saturday,345,13,December,Winter,Solar,12,4309
6/10/2020,Wednesday,162,10,June,Summer,Solar,9,2753
2/3/2021,Wednesday,34,5,February,Winter,Wind,4,8565
11/24/2020,Tuesday,329,19,November,Fall,Wind,18,5470
7/25/2020,Saturday,207,12,July,Summer,Solar,11,6211
3/18/2022,Friday,77,22,March,Spring,Wind,21,12762
11/3/2021,Wednesday,307,2,November,Fall,Wind,1,3899
1/4/2022,Tuesday,4,2,January,Winter,Wind,1,7798
5/9/2020,Saturday,130,6,May,Spring,Wind,5,1685
7/19/2020,Sunday,201,17,July,Summer,Solar,16,3926
11/8/2020,Sunday,313,11,November,Fall,Wind,10,3947
8/27/2020,Thursday,240,5,August,Summer,Wind,4,831
9/25/2020,Friday,269,1,September,Fall,Wind,0,10234
2/27/2022,Sunday,58,1,February,Winter,Wind,0,10265
12/3/2020,Thursday,338,6,December,Winter,Wind,5,3827
8/21/2022,Sunday,233,17,August,Summer,Solar,16,4951
6/19/2022,Sunday,170,2,June,Summer,Wind,1,9170
10/28/2021,Thursday,301,13,October,Fall,Wind,12,8081
5/22/2021,Saturday,142,2,May,Spring,Wind,1,11768
8/14/2021,Saturday,226,11,August,Summer,Solar,10,3814
7/20/2020,Monday,202,18,July,Summer,Solar,17,4972
6/1/2021,Tuesday,152,20,June,Summer,Wind,19,3503
5/12/2022,Thursday,132,12,May,Spring,Solar,11,4874
6/10/2022,Friday,161,3,June,Summer,Wind,2,2337
10/5/2020,Monday,279,14,October,Fall,Wind,13,10960
7/19/2022,Tuesday,200,10,July,Summer,Wind,9,5697
7/19/2021,Monday,200,21,July,Summer,Wind,20,3682
6/24/2020,Wednesday,176,1,June,Summer,Wind,0,6036
11/26/2022,Saturday,330,13,November,Fall,Wind,12,5590
12/16/2020,Wednesday,351,0,December,Winter,Wind,23,7220
5/14/2022,Saturday,134,8,May,Spring,Wind,7,2008
4/30/2020,Thursday,121,15,April,Spring,Wind,14,12735
1/20/2022,Thursday,20,18,January,Winter,Wind,17,4777
9/7/2022,Wednesday,250,13,September,Fall,Solar,12,7186
4/6/2021,Tuesday,96,5,April,Spring,Wind,4,4973
8/16/2021,Monday,228,23,August,Summer,Wind,22,3281
2/2/2022,Wednesday,33,21,February,Winter,Wind,20,2853
1/10/2020,Friday,10,10,January,Winter,Wind,9,6776
11/18/2020,Wednesday,323,16,November,Fall,Wind,15,5567
12/4/2022,Sunday,338,4,December,Winter,Wind,3,3339
10/28/2020,Wednesday,302,22,October,Fall,Wind,21,11785
5/3/2020,Sunday,124,2,May,Spring,Wind,1,1878
1/6/2022,Thursday,6,0,January,Winter,Wind,23,8696
7/5/2020,Sunday,187,21,July,Summer,Wind,20,8116
10/31/2020,Saturday,305,1,October,Fall,Wind,0,1716
4/29/2020,Wednesday,120,12,April,Spring,Wind,11,8220
9/2/2022,Friday,245,23,September,Fall,Wind,22,1024
11/17/2020,Tuesday,322,12,November,Fall,Wind,11,5342
6/17/2021,Thursday,168,9,June,Summer,Wind,8,3285
12/16/2021,Thursday,350,15,December,Winter,Wind,14,5553
11/13/2020,Friday,318,18,November,Fall,Wind,17,3647
5/13/2020,Wednesday,134,13,May,Spring,Wind,12,6906
3/10/2022,Thursday,69,1,March,Spring,Wind,0,6808
12/6/2022,Tuesday,340,0,December,Winter,Wind,23,2414
5/4/2022,Wednesday,124,11,May,Spring,Solar,10,3844
10/31/2020,Saturday,305,23,October,Fall,Wind,22,5979
9/2/2021,Thursday,245,23,September,Fall,Wind,22,5025
7/21/2021,Wednesday,202,5,July,Summer,Wind,4,2191
10/12/2021,Tuesday,285,6,October,Fall,Wind,5,2492
5/9/2020,Saturday,130,5,May,Spring,Wind,4,1859
10/25/2020,Sunday,299,23,October,Fall,Wind,22,6154
9/26/2022,Monday,269,18,September,Fall,Wind,17,12079
7/22/2020,Wednesday,204,6,July,Summer,Wind,5,4292
11/20/2021,Saturday,324,1,November,Fall,Wind,0,1660
11/26/2020,Thursday,331,9,November,Fall,Wind,8,2878
6/13/2020,Saturday,165,15,June,Summer,Wind,14,5712
5/8/2021,Saturday,128,7,May,Spring,Wind,6,5427
3/3/2022,Thursday,62,4,March,Spring,Wind,3,1649
3/7/2020,Saturday,67,1,March,Spring,Wind,0,4073
6/2/2020,Tuesday,154,1,June,Summer,Wind,0,2772
7/16/2020,Thursday,198,14,July,Summer,Solar,13,4638
7/23/2020,Thursday,205,16,July,Summer,Solar,15,3389
8/21/2022,Sunday,233,10,August,Summer,Solar,9,3158
10/23/2022,Sunday,296,1,October,Fall,Wind,0,6954
7/29/2021,Thursday,210,12,July,Summer,Solar,11,7213
1/17/2022,Monday,17,15,January,Winter,Solar,14,3473
9/1/2022,Thursday,244,15,September,Fall,Solar,14,6767
2/10/2020,Monday,41,23,February,Winter,Wind,22,12939
5/26/2022,Thursday,146,21,May,Spring,Wind,20,4461
9/19/2020,Saturday,263,2,September,Fall,Wind,1,5711
12/13/2020,Sunday,348,5,December,Winter,Wind,4,3686
2/6/2021,Saturday,37,4,February,Winter,Wind,3,2315
8/8/2021,Sunday,220,21,August,Summer,Wind,20,3499
6/13/2021,Sunday,164,11,June,Summer,Solar,10,4787
5/25/2021,Tuesday,145,21,May,Spring,Wind,20,7046
1/14/2020,Tuesday,14,20,January,Winter,Wind,19,12748
6/3/2021,Thursday,154,4,June,Summer,Wind,3,1791
6/10/2021,Thursday,161,2,June,Summer,Wind,1,1695
9/16/2021,Thursday,259,1,September,Fall,Wind,0,980
10/11/2021,Monday,284,20,October,Fall,Wind,19,2749
4/6/2022,Wednesday,96,4,April,Spring,Wind,3,5407
10/29/2020,Thursday,303,23,October,Fall,Wind,22,7596
5/12/2021,Wednesday,132,19,May,Spring,Wind,18,4185
7/1/2021,Thursday,182,9,July,Summer,Solar,8,1734
11/6/2022,Sunday,310,18,November,Fall,Wind,17,10747
4/7/2020,Tuesday,98,11,April,Spring,Solar,10,3625
5/30/2021,Sunday,150,7,May,Spring,Wind,6,4412
11/14/2022,Monday,318,2,November,Fall,Wind,1,3638
1/27/2021,Wednesday,27,0,January,Winter,Wind,23,5274
9/3/2022,Saturday,246,1,September,Fall,Wind,0,1524
5/9/2022,Monday,129,5,May,Spring,Wind,4,2847
11/19/2021,Friday,323,23,November,Fall,Wind,22,1897
1/26/2020,Sunday,26,15,January,Winter,Wind,14,4902
4/9/2021,Friday,99,6,April,Spring,Wind,5,4058
2/3/2022,Thursday,34,6,February,Winter,Wind,5,2929
2/11/2022,Friday,42,18,February,Winter,Wind,17,2107
7/10/2021,Saturday,191,11,July,Summer,Solar,10,3276
4/12/2020,Sunday,103,15,April,Spring,Solar,14,4478
10/14/2022,Friday,287,8,October,Fall,Wind,7,4001
8/23/2022,Tuesday,235,7,August,Summer,Wind,6,907
12/25/2020,Friday,360,4,December,Winter,Wind,3,6400
7/29/2021,Thursday,210,5,July,Summer,Wind,4,3765
9/17/2021,Friday,260,13,September,Fall,Solar,12,4685
1/7/2021,Thursday,7,23,January,Winter,Wind,22,1555
4/5/2022,Tuesday,95,15,April,Spring,Wind,14,10131
9/16/2022,Friday,259,4,September,Fall,Wind,3,1746
5/17/2020,Sunday,138,15,May,Spring,Solar,14,4953
7/2/2020,Thursday,184,13,July,Summer,Wind,12,6116
4/6/2020,Monday,97,13,April,Spring,Wind,12,6902
9/15/2021,Wednesday,258,17,September,Fall,Solar,16,3458
4/10/2020,Friday,101,14,April,Spring,Solar,13,5231
4/17/2022,Sunday,107,5,April,Spring,Wind,4,6844
2/6/2020,Thursday,37,12,February,Winter,Solar,11,4762
3/26/2022,Saturday,85,1,March,Spring,Wind,0,7833
9/27/2020,Sunday,271,16,September,Fall,Wind,15,11528
3/28/2020,Saturday,88,12,March,Spring,Solar,11,6079
7/5/2022,Tuesday,186,14,July,Summer,Solar,13,7568
11/22/2020,Sunday,327,22,November,Fall,Wind,21,826
12/26/2020,Saturday,361,9,December,Winter,Wind,8,3608
8/8/2022,Monday,220,3,August,Summer,Wind,2,6480
11/18/2021,Thursday,322,19,November,Fall,Wind,18,1620
1/18/2020,Saturday,18,8,January,Winter,Wind,7,3485
12/22/2020,Tuesday,357,5,December,Winter,Wind,4,10281
6/11/2020,Thursday,163,4,June,Summer,Wind,3,848
8/11/2022,Thursday,223,13,August,Summer,Solar,12,10332
2/20/2022,Sunday,51,2,February,Winter,Wind,1,11484
10/5/2022,Wednesday,278,19,October,Fall,Wind,18,8385
4/1/2020,Wednesday,92,5,April,Spring,Wind,4,5513
9/21/2022,Wednesday,264,16,September,Fall,Solar,15,7231
7/14/2022,Thursday,195,11,July,Summer,Solar,10,5159
11/24/2020,Tuesday,329,8,November,Fall,Wind,7,2279
10/10/2020,Saturday,284,15,October,Fall,Wind,14,7237
12/12/2021,Sunday,346,10,December,Winter,Wind,9,5395
8/19/2021,Thursday,231,17,August,Summer,Solar,16,4632
10/14/2020,Wednesday,288,3,October,Fall,Wind,2,1824
2/4/2021,Thursday,35,5,February,Winter,Wind,4,3121
10/14/2022,Friday,287,19,October,Fall,Wind,18,6569
3/18/2021,Thursday,77,16,March,Spring,Wind,15,5686
11/6/2020,Friday,311,4,November,Fall,Wind,3,6984
7/10/2020,Friday,192,4,July,Summer,Wind,3,3716
9/6/2020,Sunday,250,1,September,Fall,Wind,0,2406
11/22/2022,Tuesday,326,23,November,Fall,Wind,22,9243
5/2/2022,Monday,122,11,May,Spring,Solar,10,4808
9/28/2022,Wednesday,271,9,September,Fall,Wind,8,4520
9/10/2022,Saturday,253,2,September,Fall,Wind,1,5670
1/15/2021,Friday,15,2,January,Winter,Wind,1,8788
7/3/2020,Friday,185,14,July,Summer,Wind,13,6832
1/23/2020,Thursday,23,11,January,Winter,Wind,10,5033
5/31/2021,Monday,151,1,May,Spring,Wind,0,5070
10/16/2020,Friday,290,11,October,Fall,Wind,10,3717
2/7/2021,Sunday,38,11,February,Winter,Wind,10,5189
4/13/2021,Tuesday,103,9,April,Spring,Wind,8,3757
8/23/2022,Tuesday,235,23,August,Summer,Wind,22,847
6/5/2021,Saturday,156,15,June,Summer,Solar,14,6013
6/4/2021,Friday,155,6,June,Summer,Wind,5,1719
10/27/2020,Tuesday,301,21,October,Fall,Wind,20,10606
6/4/2021,Friday,155,21,June,Summer,Wind,20,2234
10/3/2022,Monday,276,19,October,Fall,Wind,18,1731
11/17/2020,Tuesday,322,21,November,Fall,Wind,20,2441
9/19/2021,Sunday,262,17,September,Fall,Wind,16,4691
6/25/2021,Friday,176,11,June,Summer,Solar,10,4800
12/20/2020,Sunday,355,13,December,Winter,Wind,12,5106
1/30/2021,Saturday,30,16,January,Winter,Wind,15,7602
4/18/2021,Sunday,108,22,April,Spring,Wind,21,2114
4/6/2020,Monday,97,2,April,Spring,Wind,1,8112
7/1/2022,Friday,182,9,July,Summer,Solar,8,3085
12/1/2021,Wednesday,335,12,December,Winter,Wind,11,12759
12/5/2021,Sunday,339,6,December,Winter,Wind,5,7017
5/7/2020,Thursday,128,9,May,Spring,Solar,8,2166
7/25/2021,Sunday,206,23,July,Summer,Wind,22,2070
2/11/2020,Tuesday,42,3,February,Winter,Wind,2,12337
1/15/2022,Saturday,15,13,January,Winter,Solar,12,3823
12/26/2021,Sunday,360,15,December,Winter,Wind,14,4153
10/4/2021,Monday,277,2,October,Fall,Wind,1,5460
7/14/2021,Wednesday,195,6,July,Summer,Wind,5,4882
10/12/2021,Tuesday,285,23,October,Fall,Wind,22,3739
9/25/2022,Sunday,268,19,September,Fall,Wind,18,3131
6/12/2021,Saturday,163,0,June,Summer,Wind,23,2994
4/3/2020,Friday,94,14,April,Spring,Solar,13,5002
10/5/2021,Tuesday,278,3,October,Fall,Wind,2,7572
5/27/2021,Thursday,147,20,May,Spring,Solar,19,1951
4/20/2021,Tuesday,110,15,April,Spring,Solar,14,4025
5/8/2022,Sunday,128,11,May,Spring,Solar,10,6177
3/25/2022,Friday,84,14,March,Spring,Solar,13,8918
4/30/2022,Saturday,120,3,April,Spring,Wind,2,4404
6/7/2021,Monday,158,2,June,Summer,Wind,1,1492
4/15/2021,Thursday,105,11,April,Spring,Solar,10,6346
8/16/2022,Tuesday,228,17,August,Summer,Solar,16,4917
11/22/2020,Sunday,327,2,November,Fall,Wind,1,2186
8/4/2022,Thursday,216,21,August,Summer,Wind,20,4846
7/15/2020,Wednesday,197,7,July,Summer,Wind,6,1391
5/23/2020,Saturday,144,16,May,Spring,Wind,15,8605
6/7/2021,Monday,158,3,June,Summer,Wind,2,1350
9/3/2021,Friday,246,0,September,Fall,Wind,23,1454
6/25/2020,Thursday,177,14,June,Summer,Solar,13,5081
2/26/2020,Wednesday,57,21,February,Winter,Wind,20,6237
5/14/2022,Saturday,134,17,May,Spring,Solar,16,4971
5/17/2021,Monday,137,3,May,Spring,Wind,2,10965
12/7/2022,Wednesday,341,23,December,Winter,Wind,22,1517
3/19/2020,Thursday,79,20,March,Spring,Wind,19,2671
10/13/2022,Thursday,286,6,October,Fall,Wind,5,1953
12/12/2022,Monday,346,18,December,Winter,Wind,17,4774
5/26/2021,Wednesday,146,7,May,Spring,Wind,6,7043
9/16/2022,Friday,259,18,September,Fall,Wind,17,8662
9/25/2021,Saturday,268,21,September,Fall,Wind,20,1559
7/4/2021,Sunday,185,19,July,Summer,Wind,18,5644
10/13/2020,Tuesday,287,6,October,Fall,Wind,5,2866
6/24/2021,Thursday,175,21,June,Summer,Wind,20,2086
12/15/2022,Thursday,349,8,December,Winter,Wind,7,4911
11/19/2022,Saturday,323,8,November,Fall,Wind,7,2395
3/13/2021,Saturday,72,22,March,Spring,Wind,21,12110
5/9/2020,Saturday,130,17,May,Spring,Solar,16,3228
1/3/2020,Friday,3,6,January,Winter,Wind,5,8568
6/6/2022,Monday,157,4,June,Summer,Wind,3,2012
2/25/2021,Thursday,56,19,February,Winter,Wind,18,1599
11/13/2020,Friday,318,23,November,Fall,Wind,22,4413
3/16/2022,Wednesday,75,14,March,Spring,Wind,13,4849
2/18/2020,Tuesday,49,15,February,Winter,Wind,14,11709
6/5/2021,Saturday,156,21,June,Summer,Wind,20,1884
4/12/2020,Sunday,103,21,April,Spring,Wind,20,2337
10/20/2022,Thursday,293,6,October,Fall,Wind,5,5478
6/19/2021,Saturday,170,13,June,Summer,Solar,12,4226
12/4/2021,Saturday,338,10,December,Winter,Wind,9,9211
8/5/2020,Wednesday,218,10,August,Summer,Solar,9,3073
10/19/2022,Wednesday,292,17,October,Fall,Wind,16,8533
8/13/2022,Saturday,225,19,August,Summer,Solar,18,3405
6/4/2021,Friday,155,20,June,Summer,Wind,19,2668
6/15/2022,Wednesday,166,3,June,Summer,Wind,2,3483
1/3/2021,Sunday,3,12,January,Winter,Wind,11,2756
9/8/2021,Wednesday,251,15,September,Fall,Solar,14,6649
12/16/2021,Thursday,350,20,December,Winter,Wind,19,4852
11/10/2022,Thursday,314,16,November,Fall,Wind,15,4572
9/8/2020,Tuesday,252,3,September,Fall,Wind,2,1634
10/13/2020,Tuesday,287,9,October,Fall,Wind,8,3592
11/10/2020,Tuesday,315,20,November,Fall,Wind,19,742
12/5/2020,Saturday,340,2,December,Winter,Wind,1,4196
6/14/2021,Monday,165,23,June,Summer,Wind,22,2139
5/24/2020,Sunday,145,4,May,Spring,Wind,3,3512
7/10/2022,Sunday,191,20,July,Summer,Wind,19,6140
